school_name,total_years_amt,,racial_ethnic_cd
,,,
,23,,W
University of Florida,1,,B
,9,,B
University of Florida,6,,W
University of Central Florida,,,H
,,,W
Central Florida Community College,5,,W
,32,,W
,7,,W
,6,,W
,9,,W
University of South Florida,7,,W
University of Central Florida,6,,W
Florida State University,2,,W
,3,,W
,,,W
University of West Florida,13,,W
Central Florida Community College,5,,B
Central Florida Community College,5,,W
,30,,W
,28,,W
,4,,W
,18,,B
University of South Florida,0,,W
,5,,W
,22,,W
Florida Keys Community College,23,,W
Central Florida Community College,,,W
,22,,W
Central Florida Community College,1,,W
,18,,W
,24,,W
Central Florida Community College,18,,W
University of North Florida,7,,W
Central Florida Community College,8,,W
Central Florida Community College,7,,W
University of Florida,0,,W
Central Florida Community College,0,,W
University of Florida,6,,W
Florida State University,3,,W
,12,,W
Central Florida Community College,2,,B
Central Florida Community College,10,teacher out of fl : 28,W
Central Florida Community College,5,,W
Central Florida Community College,20,,W
University of Florida,5,,W
University of Florida,2,,W
University of Florida,2,,W
University of South Florida,6,,W
Central Florida Community College,11,,W
University of North Florida,1,,W
,10,,W
Central Florida Community College,10,,W
Central Florida Community College,12,,W
University of Central Florida,10,,W
University of Florida,0,,A
Central Florida Community College,7,,W
,8,,A
,3,15,W
,2,,W
Central Florida Community College,7,,W
Central Florida Community College,5,,W
University of Florida,0,,H
,1,,W
,3,11,W
,9,,W
University of Central Florida,3,,W
,11,,W
,0,,W
Miami Dade College,23,,B
,12,,W
Florida Atlantic University,14,,W
,23,,W
