"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"1",57082.3241165522,2748.06885430676,1119.79437150296,883.578841814098,857.259398363894,835.58060446892,818.489732775993,786.825610162878,783.779283232837,776.048688549344,775.008716467197,767.060597706139,761.26153617874,756.714735349292,748.013772134977,742.665984015274,735.793433512674,731.82451197694,722.463533639806,720.864679016294,717.461305455298,711.380437262668,695.328833348893,692.433674027616,689.302947720359,673.619590040725,669.690402465375,662.81467996479,654.661617693993,650.115114989351,645.815469212217,638.974636139924,635.401696397983,628.052982759044,626.067774216362,621.437448247681,620.555290755716,616.691140716036,616.51605782124,610.471949888065,601.665842377218,598.873814350996,591.294627594472,590.229238883556,588.039642607274,580.518967292256,570.701186710626,568.453713474848,557.027005952548,552.804963016536,540.70612048621,539.080837729549,523.304217313869,516.434577113943,510.572605154378,504.925663147277,500.029967744722,496.592215713204,477.431198952587,460.472285320955,457.316482667716,448.369769568305,430.227531006965,425.643991943948,418.721264713019,416.65824364037,402.219284221812,395.153619750471,389.670632929227,358.598322760997,323.319436237442,98.8334106805649
"2",57321.7995873254,3046.36335873377,1107.50771003697,1017.55357641588,855.253611761909,835.546042854155,827.410577979064,795.876277682926,788.899597889384,782.845847916212,775.46133102384,774.746499026844,768.796983174872,766.128662851494,757.943135574827,748.259571390363,745.437909623691,736.818794934266,732.373389026217,726.424305772203,723.089293867314,716.57062923703,712.678807024554,707.550855497251,699.720609423179,689.953941807711,686.507697525156,679.528722249911,674.191466054979,665.366751859334,661.90213838615,658.211958929557,656.176049975431,649.523188090176,647.049932035136,645.970381531508,638.926270393939,634.805226972373,621.41873965448,616.276961716097,611.843222315569,609.313587879844,605.953967901886,597.827553987985,588.110364435914,586.058982104134,583.70548073278,582.008003068979,576.936718488303,565.046081555395,555.247598572633,543.558253701609,536.911996260766,526.864349494482,520.632114757966,512.315429264033,507.810434664481,498.067878032989,486.497681007221,478.338816229304,465.574507372415,455.336361409156,453.125479313158,437.100684136691,431.873897827442,425.40064050042,399.503003004293,378.738232307766,362.860864828749,360.21682550973,301.590583608955,93.7750979097245
"3",56986.9576607881,3030.0867627714,894.633180664149,863.232210384044,851.742174660017,834.715940446948,818.182329725754,802.170775993344,792.582481057808,788.750306211533,780.135724543256,771.004131289128,767.611272261049,764.131953267387,761.431698560676,743.207579047217,739.007660869867,726.610972544116,724.559264632977,716.064453841971,707.435066827094,701.944499825983,695.732305298267,691.80831455789,689.734074078253,674.543763533971,670.560405585624,667.481990929182,664.26871662324,661.235827519677,656.972535690041,654.994389029469,647.729182640374,645.335358732562,640.682910342401,634.934622325747,633.915048343375,626.846647187932,614.956889399108,612.937321217039,609.75428244331,602.880549562223,598.947863070554,589.782114019777,584.507756603779,581.50965561199,577.366398016056,571.862007529257,567.553761618239,553.997980800293,544.451609749511,543.88807503309,530.51275441535,522.770668231462,521.398760519977,512.439432916924,500.003650530936,484.884851606939,473.784713429675,469.770263853804,465.450348413905,455.332656086965,442.599503294442,440.131808968254,435.681111917667,424.633171994083,423.36321439226,399.116622786226,373.63889178099,366.80944361445,296.782196260938,174.745524724919
"4",56962.8710071386,3289.29021436425,1041.75295074576,867.35182071972,847.850647663147,838.224042509218,823.515562382395,812.265877592914,794.979352588714,781.121938617405,772.601581181483,770.929738029123,767.21920711444,764.415948807736,748.919230752565,738.398370620751,730.572258130829,727.89207183793,717.899772637132,717.190713880389,712.932093528891,702.742929598623,698.222755708227,688.326915137474,685.088485718629,681.400204202783,676.928903721883,673.559153313353,670.188498678737,668.395739135492,663.116318045216,656.764534433031,652.962874863508,640.761426243372,636.936829841291,628.48596617313,625.455751470286,616.985968908924,613.887081003671,611.04127980917,606.009626042287,601.469801491792,590.942058511878,585.938162898981,585.29253723898,581.239510070459,574.140900338542,568.796875919953,559.550896934986,556.59509384637,546.063135791876,536.750842824707,528.904065714833,524.105206283068,521.606235225637,514.653908304931,504.001559378032,489.335477960255,486.495228084314,476.056867602336,469.056563077742,449.187616497521,442.544558751594,440.559212764767,435.845617615654,432.2003551231,406.231856055176,395.072340855427,373.788085485396,351.1254311403,240.542862870298,95.0557362055323
"5",57057.1007044837,3082.30277668741,966.871734029476,867.137252226611,852.872875390118,827.09422436502,811.942385882701,802.734523477318,786.654130310238,781.728116451498,777.549067619734,771.870902033331,755.982728748315,753.883497277876,748.389685803851,743.189587517126,737.821761480163,734.187715353269,724.95753252035,722.497128599647,714.750646244767,709.150406844789,703.088703467241,697.874155068658,692.581497605051,688.997871478957,683.411082563171,677.984591482649,668.822408343584,667.143525016802,662.340127546828,653.846912031083,652.685476288222,648.814153284557,644.555473589019,637.899816405041,629.575048072389,628.52973391362,623.737846794204,619.926692461137,619.059982147246,616.44716557477,600.739523618379,598.811899614368,591.138057704649,585.518699027616,581.710970348404,573.372150514223,559.594684329651,559.355224663368,543.501226488347,537.561183735773,531.835966161275,529.557889505273,520.774631381918,511.375155473318,507.010422690983,500.117371956387,487.050624501333,477.600270145024,468.490656028468,457.176721018092,443.416220892801,439.807511751537,416.712952899572,412.210177725154,410.91079490896,403.86245414817,376.950879270975,351.140947954473,287.020410977612,139.661538972981
"6",56997.4832248458,2961.8230752791,945.671645476781,856.786664854518,844.006014564635,835.846467254359,826.939538039771,807.182539127559,799.265428492654,783.659279645533,781.272093733006,774.710361679413,771.423543847423,766.617861762378,753.001100005069,744.76268398775,739.778410307689,734.388093380659,730.140945470926,723.023532002901,712.640302697681,706.565385212014,702.95738843261,701.605308166635,694.789354852846,687.564589183775,681.841246200484,679.443237136178,677.373464869083,665.732956792692,657.119546658134,656.016954313473,645.693355187571,642.405146993506,638.940845142658,629.981630370909,629.715357448169,626.125706983024,618.897676248169,616.453034832861,611.097970086739,606.225208978049,604.309691977353,601.479742076231,598.921986595162,597.243570358086,585.985121510546,571.749477827021,565.171206490842,564.842373724399,553.494877245491,547.863348168392,537.564674234882,530.880268025997,518.447325336895,509.538031014266,496.540636251601,492.515038211037,483.815271225445,472.444203208722,465.885953169776,455.547648161505,434.164269182147,421.140900046233,417.637717518411,417.265849830945,408.532704870642,376.046812958056,350.833056679703,332.382568147821,312.026941683671,49.7963124810454
"7",57384.2173356873,3094.82273282772,1062.55183459897,904.729379065926,865.642149462106,849.397579258171,827.439535289857,801.002227180886,784.331945054161,781.585908464541,769.868201648879,767.821265896635,766.040877476228,760.220751508297,756.694834102115,751.362100076491,746.915510642846,732.813731866998,729.831577582481,722.082016712813,714.161706558416,701.268149141338,698.772561409285,696.169388711838,688.768271711917,682.172402098674,678.279713366568,674.56967634371,668.846414625958,661.358368274581,652.793471283272,650.36086831994,644.076314415805,641.446675667373,639.894875651245,631.02663085604,629.619953987477,622.699235023981,618.644709056899,614.408214643167,609.635785667533,602.881824162141,600.456250765731,596.970523614491,589.761744579151,588.890835238968,580.918619634317,574.399996902837,556.329511515964,545.844672947289,541.579642903144,537.945168861439,532.606775268533,526.776957428553,516.876047519069,504.927968915098,496.797534065083,489.544349584511,479.570587374759,471.487306139176,458.484405228556,452.45402670619,448.255111760005,446.891749434129,444.707013019859,430.206072016729,412.863356730663,396.358001799902,369.021988845237,331.764644419042,268.28794925503,135.762985434135
"8",57242.3639198739,2881.76150848108,923.26234301037,865.352980521202,857.205839769424,826.881812406221,820.048482372284,810.466306920607,796.744215631814,789.703796237565,782.325285840496,778.700789672688,770.482575107213,758.97637218605,758.072873074868,745.506278831134,739.330730755468,733.268803649895,726.834809314695,720.855578931061,717.662187395409,716.23931463257,710.86238459677,707.395399831549,700.765252096522,692.684981593867,678.351192902935,676.782527455716,673.398308193348,669.310883425272,667.126121960599,653.408990101117,651.292645171791,646.194816760169,634.84890996671,633.568954568311,627.66483681405,622.992241023513,615.665179620639,611.120487303131,607.16779885399,601.027032574994,598.964995881672,594.156468171205,592.895843894427,591.130014711369,582.233308691274,575.945879959063,563.5321140718,557.816772320075,550.465419656405,543.875189807227,537.752636639168,535.728942124055,520.689266194635,519.488216251422,508.393391483489,503.575345462342,496.657412459165,489.737950253779,482.415225218629,471.321718319606,464.227659731486,450.371796382607,438.942011200524,427.97804212692,396.43185374616,392.499426301569,370.705198792452,363.505595690596,255.594711575263,56.0226197023085
"9",57754.3355893063,2833.32558957149,944.632582492293,893.37281337472,858.327501486092,835.901660639225,814.395304616967,811.216760136064,796.4621693444,786.463768657627,780.562822389187,779.865018789588,771.820522613424,768.970067098422,759.738836607694,755.753822277233,743.98678531881,736.993435022229,729.14604495581,726.149439083272,724.974849227529,713.942034283721,706.629579337554,702.537121787542,701.18498768246,689.879300247113,683.016264079922,681.644920478341,672.349712223765,668.719424278362,665.359761673505,660.011060000934,655.624043781874,648.569860477524,646.518925722732,642.651415937248,636.336689869241,635.181198478218,633.49322849057,618.638033463695,614.907118698493,609.276537694511,605.225852835363,604.560370259878,596.241991299791,591.211877123891,585.552466750489,580.290641109371,576.137341048399,569.709243731557,560.344596654739,554.116581733575,546.261475483068,540.959467339557,535.51499194093,529.140173291884,511.526248541826,505.099322818004,486.87865135429,486.020758461969,466.042178451671,459.919996261526,450.183491414766,441.919607052683,435.464200913576,423.475323013837,419.965631241395,409.332892216111,392.95892674434,377.686207130503,283.45870245438,92.0244801407844
"10",57236.5677806308,2946.3856039888,1003.666280298,919.73674122031,865.350705459113,844.137426971581,816.591238519456,800.574007158698,794.167045408864,781.893330066872,778.028101062046,773.060422175611,767.434256250961,760.430023405834,753.74011546246,748.317207867167,734.173276824671,731.391291309123,721.966120220496,713.3028900947,711.080039559314,708.697758490001,705.882745372839,704.328505564435,694.723903224482,692.898505121275,685.432647263856,675.427935114894,672.590205260349,666.560783268363,659.797798110762,655.080905451782,648.571316646961,639.801002995846,636.935353999198,627.277099077596,623.016027247301,621.98445205592,615.980030491836,606.074777395126,599.573727495715,599.214566098203,594.597085623673,590.872177890205,581.023394583397,577.883718216504,572.093008560409,564.479344552451,560.842312318757,548.792492541379,546.069537043351,541.959317014095,534.25984203588,530.451990950354,526.860284307606,512.878190690019,508.149910111238,498.956904274757,487.603269258999,471.240592598594,467.004251196737,448.24956583851,443.692674352547,436.899478964188,425.826577976073,420.978699531884,413.404931223351,388.597534221925,371.975522662036,360.686825394414,257.222866270267,105.680099093307
